goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMount/dispatch-only-16                             	11070385	       112.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10837263	       113.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10844664	       112.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10595985	       113.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10421101	       112.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10601144	       113.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1011 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1020 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1020 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1031 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1037 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1023 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1029 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	  996284	      1029 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	  984541	      1024 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1019 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4895313	       246.8 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4906132	       244.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4707051	       245.9 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4813978	       245.6 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4899166	       244.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4850176	       248.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4836332	       243.7 ns/op	     848 B/op	       3 allocs/op
