goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMiddleware_BasicAuth_Hit-16             	 5820357	       207.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2156866	       554.1 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2152843	       553.0 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2147338	       559.0 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2160326	       555.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2162594	       555.5 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2145172	       552.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2156082	       557.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2178006	       553.4 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2151900	       554.1 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2186569	       551.5 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59895610	        20.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60036879	        20.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58439011	        20.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58218820	        20.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58433248	        20.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59228907	        20.61 ns/op	       0 B/op	       0 allocs/op
