goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMiddleware_BasicAuth_Hit-16             	 5943006	       200.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2287971	       529.0 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2264324	       528.3 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2286823	       527.5 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2270116	       526.0 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2270961	       526.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2278112	       524.9 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2203267	       538.9 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2286789	       525.1 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2276926	       526.4 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2271045	       529.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60020547	        20.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59933036	        20.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59485668	        20.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59838483	        20.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58264843	        20.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59940981	        20.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59747964	        20.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60362360	        20.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59924258	        20.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59266935	        20.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5908342	       200.5 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5964711	       200.9 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6090048	       200.2 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6072360	       200.6 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6004597	       199.0 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5945733	       200.8 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6082846	       199.4 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5960802	       200.3 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6035994	       200.0 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 6014112	       200.7 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41886836	        29.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	42361374	        29.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41881731	        28.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41611315	        28.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41336113	        28.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41935398	        28.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	40917250	        29.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	42167377	        28.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41628152	        28.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	42248252	        28.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4262379	       285.6 ns/op	      99 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4208137	       270.3 ns/op	      80 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4206423	       266.4 ns/op	      80 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4249680	       284.9 ns/op	      99 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4267101	       284.7 ns/op	      99 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4266975	       284.9 ns/op	      99 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4322455	       288.8 ns/op	      97 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4354333	       275.1 ns/op	      97 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4376500	       283.6 ns/op	      96 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4447576	       285.4 ns/op	      95 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3838141	       303.4 ns/op	      88 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3895687	       305.5 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3927213	       307.8 ns/op	      86 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3877226	       309.1 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3882388	       306.0 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3855420	       308.1 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3900218	       305.2 ns/op	      86 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3865701	       307.2 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3849374	       306.0 ns/op	      88 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3890008	       308.6 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69500941	        17.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	68716254	        17.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69902173	        17.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	68916630	        17.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69858408	        17.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	66932888	        17.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69337424	        17.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69978475	        17.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	70173973	        17.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	70666066	        17.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5141614	       235.0 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5149765	       234.2 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5217237	       233.4 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5092804	       233.1 ns/op	     512 B/op	       3 allocs/op
