goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkBunRouterParamRoute3-16                 	11522785	       214.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	10858936	       213.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11752953	       213.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11596833	       211.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	13829229	       186.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	12136856	       184.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	13755603	       184.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	12006408	       187.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	13390168	       185.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	14006296	       185.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	13186602	       185.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	12731347	       185.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	12703084	       191.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	13613066	       185.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterNotFound-16                    	 7357336	       320.6 ns/op	     152 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8207856	       308.9 ns/op	     145 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8064607	       312.7 ns/op	     146 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8110466	       318.5 ns/op	     146 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8123367	       321.9 ns/op	     146 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8157756	       314.3 ns/op	     145 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8218389	       313.1 ns/op	     145 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8236137	       314.2 ns/op	     145 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 7954992	       316.3 ns/op	     147 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 8197632	       313.7 ns/op	     145 B/op	       4 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18037110	       131.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18307668	       129.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18325086	       130.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18243344	       129.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18960356	       128.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18714414	       129.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18606132	       128.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18300794	       128.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18734595	       129.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	18495094	       129.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18599284	       130.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18564919	       129.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18498938	       128.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18364965	       129.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18350490	       129.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18514098	       130.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18898398	       128.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18498630	       128.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18497215	       129.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	18737803	       131.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkChiStaticRoute-16                       	10799380	       221.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10752208	       221.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10832953	       223.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10601030	       219.3 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	11024839	       220.4 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10778704	       219.5 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10792845	       220.1 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10775253	       220.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10965366	       220.4 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	10918425	       221.3 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParamRoute1-16                       	 6828465	       359.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6721024	       360.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6652620	       357.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6563989	       359.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6705897	       360.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6617797	       361.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6514672	       359.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6691930	       358.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6672990	       363.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 6655719	       363.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                       	 5979129	       403.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                       	 5969031	       401.3 ns/op	     704 B/op	       4 allocs/op
